name,region,delegation,commune,category_code,category_name,facility_type,departments
Zeghanghane,Oriental,Nador,Zeghanghane,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bni Bouyafrour,Oriental,Nador,Zeghanghane,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Sebra,Oriental,Nador,Zaio,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Zaio,Oriental,Nador,Zaio,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Barraca,Oriental,Nador,Nador,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Laari Cheikh,Oriental,Nador,Nador,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Al Masjid,Oriental,Nador,Nador,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
El Bahri,Oriental,Nador,Nador,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Al Aarouit,Oriental,Nador,Al Aaroui,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bni Ansar,Oriental,Nador,Bni Ansar,CSU-2,Centre de Santé Urbain niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Farkhana,Oriental,Nador,Bni Ansar,CSU-2,Centre de Santé Urbain niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bouzarzaren  (Iheddaden),Oriental,Nador,Ihaddadene,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Iaazzanene,Oriental,Nador,Iaazzanene,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Idoudouhane,Oriental,Nador,Bni Chiker,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Rahouana,Oriental,Nador,Bni Chiker,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Taourirt,Oriental,Nador,Bni Chiker,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Bouarg,Oriental,Nador,Bouarg,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Bni Sidel-Louta,Oriental,Nador,Bni Sidel Louta,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Bni Sidel Jbel,Oriental,Nador,Bni Sidel Jbel,CSR-2,Centre de Santé Rural niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Iksane (Ihajjamene),Oriental,Nador,Iksane,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ihaddaden1,Oriental,Nador,Ihaddadene,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Bni Bouifrour,Oriental,Nador,Bni Bouifrour,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Bni Chiker,Oriental,Nador,Bni Chiker,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Arkmane (Kariat),Oriental,Nador,Arekmane,CSR-2,Centre de Santé Rural niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ouled Zaaj,Oriental,Nador,Arekmane,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Oulad Settout,Oriental,Nador,Oulad Settout,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ouled Daoud,Oriental,Nador,Oulad Daoud Zkhanine,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Afsou,Oriental,Nador,Afsou,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Bni Oukil,Oriental,Nador,Bni Oukil Oulad M'Hand,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Od RAHOU B.AISSA,Oriental,Nador,Bni Oukil Oulad M'Hand,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Hassi-Berkane,Oriental,Nador,Hassi Berkane,CSR-2,Centre de Santé Rural niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Tistoutine,Oriental,Nador,Tiztoutine,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ibakaniyene (Ouled Youssef),Oriental,Nador,Al Barkanyene,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Koulouche,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Al Andalous,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Mharchi,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Ennasr 2,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Ennasr I,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Mbasso,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
S.Smail,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Makcem,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
My Idriss,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Ryad,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Lazaret (Dhar Lamalla),Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Najd,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
El Aounia,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Neima,Oriental,Oujda Angad,Naima,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bni Drar,Oriental,Oujda Angad,Bni Drar,CSU-2,Centre de Santé Urbain niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
C. Diagnostic Tuberculose,Oriental,Oujda Angad,Oujda,CDTMR,Centre de Diagnostic et de Traitement des Maladies Respiratoires,Soins primaires,"Pneumologie,Maladies respiratoires,Tuberculose,CDTMR"
Centre De Reference,Oriental,Oujda Angad,Oujda,CRSR,Centre de Référence en Santé de Reproduction,Soins primaires,"Gynécologie,Santé de la reproduction,Planification familiale,Maternité"
Al Fath,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Assalam,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
JARF LAKHDAR,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Guettar,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Labo. Epidemiologique,Oriental,Oujda Angad,Oujda,LSP,Laboratoire de Santé Publique,Soins primaires,Laboratoire d'analyses médicales
Ettoba,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Zrarka,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Essaada,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Od NACHEF,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Sidi Yahia,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Al Amal,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Boudir,Oriental,Oujda Angad,Oujda,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Ain Sfa,Oriental,Oujda Angad,Ain Sfa,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Bni Khaled,Oriental,Oujda Angad,Bni Khaled,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ouled Abbes,Oriental,Oujda Angad,Ahl Angad,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Ahl Angad,Oriental,Oujda Angad,Ahl Angad,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Bsara,Oriental,Oujda Angad,Bsara,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Mestferki,Oriental,Oujda Angad,Mestferki,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
S.Moussa Lemhaya,Oriental,Oujda Angad,Sidi Moussa Lemhaya,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Isly,Oriental,Oujda Angad,Isly,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
S.Boulenouar,Oriental,Oujda Angad,Sidi Boulenouar,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Takaddoum (Halfa),Oriental,Taourirt,Taourirt,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Sidi Mellouk,Oriental,Taourirt,El Aioun Sidi Mellouk,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Debdou,Oriental,Taourirt,Debdou,CSU-2,Centre de Santé Urbain niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Moulay Ali Cherif,Oriental,Taourirt,Taourirt,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
20 Aout,Oriental,Taourirt,Taourirt,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
CDTMR Taourirt,Oriental,Taourirt,Taourirt,CDTMR,Centre de Diagnostic et de Traitement des Maladies Respiratoires,Soins primaires,"Pneumologie,Maladies respiratoires,Tuberculose,CDTMR"
Lemsellah,Oriental,Taourirt,Taourirt,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Beni Reiss,Oriental,Taourirt,Sidi Ali Bel Quassem,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Oulad M'hammed,Oriental,Taourirt,Oulad M'hammed,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Tanzaret,Oriental,Taourirt,Sidi Ali Bel Quassem,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Bni Oujguel,Oriental,Taourirt,Sidi Lahsen,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Sidi Lahsen,Oriental,Taourirt,Sidi Lahsen,CSR-2,Centre de Santé Rural niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Foum El Oued,Oriental,Taourirt,Sidi Ali Bel Quassem,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Mestegmer,Oriental,Taourirt,Mestegmer,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Sidi Moussa,Oriental,Taourirt,Ain Lehjer,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Tancherfi,Oriental,Taourirt,Tancherfi,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Machraa  Hammadi,Oriental,Taourirt,Mechraa Hammadi,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Bni Koulal,Oriental,Taourirt,Ahl Oued Za,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Od SLIMANE,Oriental,Taourirt,Gteter,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Bni Yachbel (Ahl Oued Za),Oriental,Taourirt,Ahl Oued Za,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Krarma,Oriental,Taourirt,Ahl Oued Za,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Melg El Ouidane,Oriental,Taourirt,Melg El Ouidane,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Gteter,Oriental,Taourirt,Gteter,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
LEHM-Meknes,Fès-Meknès,Meknes,Meknès,LSP,Laboratoire de Santé Publique,Soins primaires,Laboratoire d'analyses médicales
El Bassatine,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Al Anouar,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Izdihar,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Moulay Youssef (Ville Nouvelle),Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Oujeh Arouss,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Sbata,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Sidi Amar,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
El Ismailia,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bni M'hamed,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Jbabra,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Touarga,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Sidi Bouzekri,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Riyad Kostani,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Riad,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bab Rha,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bab Siba,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Hay Salam,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Sidi Baba,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Marjane,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Diour Assalam,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Ras Aghile,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Borj My Omar,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Ezzahoua,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Oum Rabiâ,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Al Wahda,Fès-Meknès,Meknes,Meknès,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Bab Belkari,Fès-Meknès,Meknes,Al Machouar - Stinia,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Boufakrane,Fès-Meknès,Meknes,Boufakrane,CSU-2,Centre de Santé Urbain niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Toulal,Fès-Meknès,Meknes,Toulal,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Quartier Administratif Toulal,Fès-Meknès,Meknes,Toulal,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Moulay Idriss Zerhoun,Fès-Meknès,Meknes,Moulay Driss Zerhoun,CSU-2,Centre de Santé Urbain niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Al Boustane,Fès-Meknès,Meknes,Ouislane,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Ouislane,Fès-Meknès,Meknes,Ouislane,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
Saada,Fès-Meknès,Meknes,Ouislane,CSU-1,Centre de Santé Urbain niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Planning familial,Consultation infirmière"
CRSR-Meknes,Fès-Meknès,Meknes,Meknès,CRSR,Centre de Référence en Santé de Reproduction,Soins primaires,"Gynécologie,Santé de la reproduction,Planification familiale,Maternité"
CDTMR Sidi Said,Fès-Meknès,Meknes,Meknès,CDTMR,Centre de Diagnostic et de Traitement des Maladies Respiratoires,Soins primaires,"Pneumologie,Maladies respiratoires,Tuberculose,CDTMR"
Chaabanate,Fès-Meknès,Meknes,Ain Jemaa,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Ain Jemaa,Fès-Meknès,Meknes,Ain Jemaa,CSR-2,Centre de Santé Rural niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ain Karma,Fès-Meknès,Meknes,Ain Karma- Oued Rommane,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Oued Rommane,Fès-Meknès,Meknes,Ain Karma- Oued Rommane,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Ain Orma,Fès-Meknès,Meknes,Ain Orma,CSR-2,Centre de Santé Rural niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ait Aissa Addi,Fès-Meknès,Meknes,Ait Ouallal,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Dar oum Soltane,Fès-Meknès,Meknes,Dar Oum Soltane,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Haj Kaddour,Fès-Meknès,Meknes,Sidi Slimane Moul Al Kifane,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Sidi Slimane,Fès-Meknès,Meknes,Sidi Slimane Moul Al Kifane,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Mhaya,Fès-Meknès,Meknes,M'haya,CSR-2,Centre de Santé Rural niveau 2,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ouled Slim,Fès-Meknès,Meknes,M'haya,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Ouad Jdida,Fès-Meknès,Meknes,Oued Jdida,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Ain Agoual,Fès-Meknès,Meknes,Oued Jdida,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Tamasna,Fès-Meknès,Meknes,Dkhissa,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Bridia,Fès-Meknès,Meknes,Majjate,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Majjate,Fès-Meknès,Meknes,Majjate,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Zoualet,Fès-Meknès,Meknes,Dkhissa,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Karmet Ben Salem,Fès-Meknès,Meknes,Oualili,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Ain Bziz,Fès-Meknès,Meknes,Oualili,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Tadla,Fès-Meknès,Meknes,Charqaoua,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Charqaoua,Fès-Meknès,Meknes,Charqaoua,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Sidi Mjahed,Fès-Meknès,Meknes,Sidi Abdallah Al Khayat,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Ait Sidi Hsaine,Fès-Meknès,Meknes,Sidi Abdallah Al Khayat,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Talaghza,Fès-Meknès,Meknes,Sidi Abdallah Al Khayat,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
S.Abdellah Khayat,Fès-Meknès,Meknes,Sidi Abdallah Al Khayat,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Moussaoua,Fès-Meknès,Meknes,MRhassiyine,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Mrhassiyine,Fès-Meknès,Meknes,MRhassiyine,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
Sidi Ali,Fès-Meknès,Meknes,MRhassiyine,DR,Dispensaire Rural,Soins primaires,"Soins de base,Soins d'urgence élémentaires"
Beni Maraaz,Fès-Meknès,Meknes,Oualili,CSR-1,Centre de Santé Rural niveau 1,Soins primaires,"Médecine générale,Soins de base,Vaccination,Soins infirmiers"
